eventName,screenName,context,category,userId,sessionId,date,operatingSystem
home,album,navigation,,3858,37625291923,20-08-2022,iOS
search,album,navigation,,4525,104719368194,30-08-2022,iOS
library,album,navigation,,6063,21805248898,11-08-2022,iOS
back,album,navigation,,7326,44132736863,08-08-2022,Android
home,liked_songs,navigation,,7078,13378313288,12-08-2022,Android
search,liked_songs,navigation,,2039,21875045272,07-08-2022,iOS
library,liked_songs,navigation,,2925,74653937044,21-08-2022,Android
play,liked_songs,shuffle,,2520,70831912980,11-08-2022,iOS
add,liked_songs,add_songs,,9496,57784541129,13-08-2022,iOS
unlove,liked_songs,,,6974,83546071132,13-08-2022,Android
more,liked_songs,,,8811,109515580866,29-08-2022,iOS
toggle,liked_songs,download_all,,8040,64989707107,21-08-2022,Android
image,home,suggestions,Electronic,3116,61767892507,18-08-2022,Android
library,album,navigation,,5299,42962500610,12-08-2022,Android
image,home,suggestions,Electronic,3978,61067631191,09-08-2022,iOS
toggle,liked_songs,download_all,,5028,62933890336,19-08-2022,iOS
image,search,browse_all,Podcasts,3556,38783321940,01-08-2022,iOS
search,home,navigation,,6229,26920189078,13-08-2022,Android
image,search,popular,YouTubers,2478,51169624433,30-08-2022,iOS
settings,home,,,3091,45709018721,01-08-2022,iOS
image,search,popular,Comedy,5582,24217087281,29-08-2022,iOS
image,search,browse_all,Charts,9180,57856799543,03-08-2022,iOS
image,home,suggestions,Are & Be,5408,29817920994,09-08-2022,Android
search,search,navigation,,4308,83355518303,23-08-2022,iOS
love,album,album,,7080,35302108356,24-08-2022,Android
love,album,album,,5761,64560736993,20-08-2022,iOS
image,home,suggestions,Electronic,2249,41753017419,28-08-2022,Android
more,album,,,4459,34249923127,16-08-2022,Android
image,home,suggestions,Are & Be,1468,97211204580,01-08-2022,Android
download,album,,,4167,102887020973,11-08-2022,iOS
image,home,suggestions,Dance & EDM,9512,81098197438,10-08-2022,iOS
play,album,album,,4186,78282585496,27-08-2022,iOS
more,liked_songs,,,2854,109597599055,15-08-2022,Android
image,search,popular,Comedy,6691,82798912793,01-08-2022,iOS
image,home,recently_played,Study beats,1830,100844032112,25-08-2022,iOS
image,search,browse_all,Chillout,1117,76405186627,23-08-2022,Android
add,liked_songs,add_songs,,4930,27118668835,21-08-2022,Android
home,search,navigation,,3682,45117462976,22-08-2022,iOS
home,album,navigation,,5295,28417180200,28-08-2022,Android
image,home,suggestions,Are & Be,4042,60413493663,04-08-2022,iOS
library,album,navigation,,5780,62471450005,28-08-2022,iOS
search,search,navigation,,2369,34541115500,09-08-2022,Android
image,home,suggestions,Are & Be,5381,107977395336,19-08-2022,iOS
play,liked_songs,shuffle,,9921,40124140296,25-08-2022,iOS
image,search,popular,YouTubers,8105,104089600472,21-08-2022,iOS
image,home,made_for_you,Chilled Hits,3228,32659587846,03-08-2022,iOS
random,album,,,2092,97033362340,12-08-2022,iOS
download,album,,,5544,63450628037,08-08-2022,iOS
more,liked_songs,,,8491,80060061868,31-08-2022,Android
image,home,suggestions,Electronic,8627,105888154698,17-08-2022,Android
library,album,navigation,,4685,105442562792,01-08-2022,iOS
random,album,,,6695,21256022064,11-08-2022,iOS
image,home,suggestions,Are & Be,6120,20949651450,12-08-2022,Android
image,home,suggestions,Chilled Hits,8688,73292745297,13-08-2022,iOS
image,home,suggestions,Electronic,8614,41695899523,15-08-2022,Android
image,home,recently_played,Study beats,4689,70327478066,05-08-2022,Android
unlove,liked_songs,,,2060,23178686336,13-08-2022,Android
home,search,navigation,,9799,109134446883,12-08-2022,Android
home,album,navigation,,6640,30482859759,12-08-2022,iOS
play,album,album,,4493,15156763683,31-08-2022,iOS
image,search,browse_all,Chillout,5798,66101311733,29-08-2022,iOS
settings,home,,,8837,92758725506,06-08-2022,iOS
search,liked_songs,navigation,,9997,13112664150,30-08-2022,Android
search,search,navigation,,9942,41957927290,04-08-2022,iOS
library,liked_songs,navigation,,6812,14141146735,09-08-2022,Android
library,search,navigation,,1917,13096264541,20-08-2022,Android
image,home,made_for_you,Chilled Vibes,7358,48864107165,30-08-2022,Android
home,search,navigation,,5824,17829427636,01-08-2022,Android
download,album,,,4523,69604144608,05-08-2022,iOS
image,home,suggestions,Country Rock,2956,100340311523,09-08-2022,iOS
play,album,album,,4541,62754775058,26-08-2022,Android
search,search,navigation,,9268,49706569918,09-08-2022,Android
unlove,liked_songs,,,1217,100589046601,01-08-2022,iOS
love,album,album,,7702,63500033757,23-08-2022,Android
home,liked_songs,navigation,,8699,33209949844,28-08-2022,Android
random,album,,,2290,34101055432,15-08-2022,iOS
play,album,song,,1206,93592855730,09-08-2022,iOS
image,home,suggestions,Chilled Hits,7296,37475478961,26-08-2022,iOS
image,search,popular,YouTubers,7842,32373526497,03-08-2022,iOS
image,home,recently_played,Chilled Hits,2833,26382039605,25-08-2022,iOS
search,search,navigation,,8542,110181678366,04-08-2022,Android
home,home,navigation,,7529,33203485391,16-08-2022,Android
toggle,liked_songs,download_all,,8056,84730376736,26-08-2022,iOS
image,search,browse_all,Chillout,6298,18041401642,30-08-2022,Android
image,search,browse_all,Chillout,3440,104399158651,30-08-2022,iOS
download,album,,,4482,82087811578,26-08-2022,iOS
image,search,top_genres,Dance/Electronic,4702,50389967494,11-08-2022,Android
back,album,navigation,,9720,97506037047,02-08-2022,Android
home,search,navigation,,4699,41513121765,20-08-2022,Android
image,home,recently_played,Study beats,7168,68242216733,21-08-2022,Android
image,home,suggestions,Dance & EDM,9990,93408970591,26-08-2022,iOS
image,home,suggestions,Chilled Hits,7034,69774693498,25-08-2022,Android
image,home,suggestions,Electronic,1130,98771734029,14-08-2022,iOS
image,home,recently_played,Study beats,2824,81370883777,22-08-2022,Android
home,search,navigation,,6891,71590369669,06-08-2022,iOS
random,album,,,2069,64272906643,03-08-2022,Android
image,home,recently_played,Study beats,6611,51673874513,19-08-2022,iOS
back,album,navigation,,6636,110706510624,06-08-2022,Android
search,search,navigation,,6148,93297492077,08-08-2022,iOS
image,home,suggestions,Chilled Hits,5853,79874741511,16-08-2022,Android
image,search,browse_all,Study Jams,2392,104809222555,21-08-2022,iOS
search,search,navigation,,5577,22017198563,30-08-2022,Android
library,search,navigation,,7677,84090238010,08-08-2022,iOS
image,home,recently_played,Chilled Hits,8786,62716647058,07-08-2022,iOS
play,album,album,,7040,97001093399,10-08-2022,iOS
library,home,navigation,,9595,52576550088,31-08-2022,Android
back,album,navigation,,3092,88295058349,16-08-2022,Android
image,home,made_for_you,Chilled Vibes,1571,87418707884,30-08-2022,Android
search,home,navigation,,2904,109993543881,31-08-2022,Android
image,home,suggestions,Chilled Hits,8457,30213126439,16-08-2022,Android
image,search,top_genres,Dance/Electronic,7646,82050270421,12-08-2022,Android
settings,home,,,6151,52904710646,30-08-2022,Android
image,home,recently_played,Chilled Hits,6685,110106031772,25-08-2022,iOS
library,search,navigation,,3208,40042931915,29-08-2022,Android
library,liked_songs,navigation,,5935,70203338896,12-08-2022,iOS
image,search,popular,YouTubers,8298,100697430034,18-08-2022,Android
home,liked_songs,navigation,,1433,98380616368,29-08-2022,iOS
library,liked_songs,navigation,,4735,30758024332,09-08-2022,Android
play,album,album,,8025,72863007723,09-08-2022,iOS
image,search,popular,Comedy,6672,62148433662,26-08-2022,iOS
image,home,made_for_you,Chilled Vibes,2048,26237235914,30-08-2022,iOS
image,home,suggestions,Indie,9123,45331027560,01-08-2022,Android
home,search,navigation,,1299,89880218827,16-08-2022,Android
more,liked_songs,,,5352,63651526879,05-08-2022,iOS
add,liked_songs,add_songs,,3946,102034519438,12-08-2022,iOS
image,home,recently_played,Chill as Folk,3736,48811231411,28-08-2022,Android
library,search,navigation,,4561,14890974613,20-08-2022,iOS
search,search,navigation,,7503,61891861873,10-08-2022,iOS
image,search,popular,YouTubers,3576,96778099361,07-08-2022,iOS
image,search,popular,YouTubers,5845,72274944194,05-08-2022,Android
library,home,navigation,,5195,28615831914,31-08-2022,Android
back,album,navigation,,7571,49644290278,01-08-2022,iOS
random,album,,,7517,53882352073,16-08-2022,iOS
search,liked_songs,navigation,,8855,54944794828,12-08-2022,iOS
home,search,navigation,,6338,62446921927,16-08-2022,Android
image,search,popular,Comedy,7412,28729565670,27-08-2022,Android
play,album,song,,3926,44422173956,20-08-2022,Android
library,home,navigation,,1476,76064730454,31-08-2022,iOS
search,album,navigation,,7247,31363377514,05-08-2022,iOS
image,home,made_for_you,Chilled Hits,3405,44459038955,12-08-2022,Android
more,album,,,9446,92552397904,09-08-2022,iOS
home,home,navigation,,9321,29624624371,31-08-2022,Android
home,search,navigation,,4826,66868550853,03-08-2022,iOS
image,home,suggestions,Electronic,7793,84894400272,15-08-2022,iOS
image,home,suggestions,Dance & EDM,5819,34723514130,11-08-2022,Android
image,search,popular,Comedy,2993,36146549914,11-08-2022,iOS
search,liked_songs,navigation,,2169,70850645807,06-08-2022,iOS
library,search,navigation,,1082,104387600206,14-08-2022,iOS
play,album,song,,7390,37616836286,26-08-2022,Android
search,album,navigation,,5950,68266942551,02-08-2022,Android
image,search,browse_all,Charts,4194,101763856789,01-08-2022,Android
home,search,navigation,,3710,55919635740,13-08-2022,iOS
search,search,bar,,1822,60423713492,19-08-2022,iOS
image,home,suggestions,Indie,6479,13871784695,26-08-2022,iOS
search,search,navigation,,3811,93379351447,18-08-2022,Android
image,home,suggestions,Are & Be,7641,103315338368,06-08-2022,iOS
image,search,browse_all,Charts,3096,60236234000,26-08-2022,Android
image,home,suggestions,Dance & EDM,3409,105042737849,10-08-2022,iOS
home,search,navigation,,9169,27561422525,08-08-2022,iOS
image,search,popular,Comedy,6908,86614522179,16-08-2022,iOS
search,search,navigation,,8824,90546583528,05-08-2022,iOS
search,liked_songs,navigation,,1619,39230476226,02-08-2022,Android
image,search,browse_all,Podcasts,1258,17469889496,05-08-2022,Android
play,album,album,,8408,56750944439,16-08-2022,Android
image,search,popular,YouTubers,1593,34984284579,12-08-2022,iOS
image,home,suggestions,Country Rock,3098,22066867849,13-08-2022,iOS
home,search,navigation,,2847,110335470091,30-08-2022,Android
search,search,bar,,9492,84242187921,21-08-2022,Android
image,home,suggestions,Are & Be,4051,73453420859,26-08-2022,iOS
image,search,popular,Comedy,7409,51717991875,28-08-2022,Android
image,search,popular,Comedy,7399,68109288910,10-08-2022,iOS
image,search,top_genres,Rock,1328,74946137973,05-08-2022,Android
image,home,suggestions,Chilled Hits,2153,16885839768,04-08-2022,Android
image,search,popular,YouTubers,5372,76364376703,22-08-2022,Android
library,search,navigation,,1327,74417825149,15-08-2022,Android
image,home,suggestions,Chilled Hits,5079,76379320896,06-08-2022,iOS
image,home,recently_played,Study beats,5407,36913499940,04-08-2022,iOS
unlove,liked_songs,,,9601,15650049250,30-08-2022,Android
play,album,song,,6967,104886925047,16-08-2022,iOS
download,album,,,6482,54293281697,03-08-2022,Android
unlove,liked_songs,,,8655,41543489991,02-08-2022,Android
home,album,navigation,,2182,72931815261,25-08-2022,iOS
love,album,album,,5329,12475948458,20-08-2022,Android
image,search,popular,YouTubers,2941,75638163113,29-08-2022,iOS
play,album,song,,7739,12738960281,21-08-2022,iOS
toggle,liked_songs,download_all,,7668,80293586325,31-08-2022,Android
unlove,liked_songs,,,4657,99492342189,08-08-2022,Android
search,liked_songs,navigation,,5644,98974225072,09-08-2022,Android
play,liked_songs,shuffle,,8396,103156944019,12-08-2022,Android
more,album,,,1983,61191813298,19-08-2022,Android
search,liked_songs,navigation,,9710,69134694853,08-08-2022,Android
image,search,browse_all,Chillout,4146,53799734649,03-08-2022,iOS
play,liked_songs,shuffle,,7116,19936488908,31-08-2022,iOS
search,search,navigation,,6799,24127155166,14-08-2022,iOS
search,liked_songs,navigation,,7151,107724663898,15-08-2022,iOS
image,home,made_for_you,Chilled Hits,4056,59902914940,09-08-2022,Android
home,search,navigation,,7429,19288131862,16-08-2022,iOS
image,home,suggestions,Electronic,4669,23263233775,07-08-2022,Android
search,search,navigation,,8259,29729887743,01-08-2022,Android
add,liked_songs,add_songs,,8551,73742683775,27-08-2022,Android
home,search,navigation,,9990,42293649403,21-08-2022,Android
image,search,browse_all,Chillout,8095,24183205502,05-08-2022,Android
settings,home,,,7084,68633224571,13-08-2022,iOS
library,liked_songs,navigation,,6507,95187613937,28-08-2022,iOS
random,album,,,2138,44655563501,28-08-2022,Android
image,home,suggestions,Dance & EDM,6259,89252876178,04-08-2022,Android
image,search,popular,Comedy,5920,102199004172,31-08-2022,iOS
search,search,bar,,1291,87199617454,11-08-2022,iOS
image,search,popular,Comedy,8486,24535780206,11-08-2022,iOS
image,search,browse_all,Charts,8766,46873311649,13-08-2022,iOS
download,album,,,6077,25193569249,28-08-2022,iOS
image,home,suggestions,Are & Be,5982,13330024999,22-08-2022,iOS
image,home,recently_played,Chill as Folk,9838,78033327913,18-08-2022,iOS
home,search,navigation,,6658,13027284907,06-08-2022,iOS
back,album,navigation,,8884,93654431015,17-08-2022,Android
image,home,suggestions,Country Rock,5138,64979324752,31-08-2022,iOS
library,search,navigation,,8302,12322755472,04-08-2022,Android
library,search,navigation,,4212,68694172878,10-08-2022,Android
library,liked_songs,navigation,,9084,62485937033,29-08-2022,Android
search,search,navigation,,4588,92419184738,11-08-2022,iOS
play,liked_songs,shuffle,,9405,48360319121,03-08-2022,Android
image,home,suggestions,Indie,5981,63527226757,01-08-2022,Android
image,home,suggestions,Indie,9945,12564144971,19-08-2022,Android
search,home,navigation,,2737,58444872028,09-08-2022,iOS
settings,home,,,6270,14420541955,08-08-2022,Android
search,search,bar,,4144,65998349035,20-08-2022,Android
home,search,navigation,,5667,85114396345,06-08-2022,Android
image,home,suggestions,Country Rock,4338,32759738008,29-08-2022,Android
settings,home,,,7045,45741346609,02-08-2022,Android
library,search,navigation,,7830,87612439323,13-08-2022,iOS
unlove,liked_songs,,,2401,33960457892,25-08-2022,iOS
play,album,song,,5038,51083781228,17-08-2022,Android
play,album,album,,9798,32266859843,08-08-2022,iOS
download,album,,,4319,45564451720,05-08-2022,iOS
image,home,suggestions,Are & Be,1151,44891169020,14-08-2022,iOS
search,search,navigation,,9625,21909334242,20-08-2022,iOS
download,album,,,1907,14738786546,03-08-2022,iOS
download,album,,,1732,29810015891,15-08-2022,Android
library,search,navigation,,7144,37932066154,20-08-2022,iOS
home,home,navigation,,7763,88486457622,07-08-2022,Android
image,search,browse_all,Charts,2517,62333495250,10-08-2022,Android
library,search,navigation,,5341,75286209672,15-08-2022,iOS
image,search,browse_all,Study Jams,7541,104932511276,16-08-2022,iOS
settings,home,,,1744,68135196603,28-08-2022,Android
more,liked_songs,,,8426,104981158863,28-08-2022,Android
image,search,popular,Comedy,4198,96165877447,25-08-2022,iOS
home,liked_songs,navigation,,4306,22369873784,19-08-2022,Android
home,liked_songs,navigation,,2095,55339998822,22-08-2022,Android
image,search,top_genres,Dance/Electronic,4398,103058736327,20-08-2022,iOS
library,search,navigation,,3830,39260365212,02-08-2022,iOS
home,search,navigation,,9700,76569960135,31-08-2022,iOS
search,search,navigation,,2695,66808207024,01-08-2022,Android
play,liked_songs,shuffle,,5517,61989866520,08-08-2022,iOS
add,liked_songs,add_songs,,3250,35781116037,22-08-2022,iOS
image,home,made_for_you,Chilled Hits,4795,78567862450,23-08-2022,Android
home,search,navigation,,3438,98021556919,26-08-2022,iOS
image,home,made_for_you,Chilled Hits,8490,78048578833,06-08-2022,iOS
back,album,navigation,,4745,85296827946,04-08-2022,iOS
home,search,navigation,,3132,87407400507,12-08-2022,iOS
play,liked_songs,shuffle,,8093,72202364702,25-08-2022,Android
more,liked_songs,,,1612,86872198366,27-08-2022,iOS
more,album,,,4978,38765381360,01-08-2022,iOS
home,album,navigation,,2158,33604031408,31-08-2022,Android
search,search,bar,,9404,44101161919,24-08-2022,Android
image,home,suggestions,Indie,8941,92487092948,10-08-2022,iOS
image,search,popular,YouTubers,3429,46614363721,07-08-2022,Android
image,home,suggestions,Electronic,9936,99948875381,10-08-2022,iOS
search,liked_songs,navigation,,8520,72460506871,27-08-2022,iOS
search,search,navigation,,5324,90802465285,31-08-2022,Android
more,album,,,1503,110291874080,05-08-2022,iOS
home,liked_songs,navigation,,2530,71084104058,28-08-2022,Android
more,album,,,8967,40902857295,15-08-2022,Android
image,search,browse_all,Podcasts,5225,62169767833,02-08-2022,iOS
home,search,navigation,,2182,110824863052,27-08-2022,Android
search,album,navigation,,1993,106384407730,15-08-2022,Android
image,search,popular,YouTubers,2115,56204977109,30-08-2022,iOS
library,liked_songs,navigation,,9081,71105157718,11-08-2022,iOS
home,search,navigation,,6584,62945474408,23-08-2022,Android
image,home,made_for_you,Chilled Hits,9967,63072886046,12-08-2022,Android
more,album,,,9607,101349345210,15-08-2022,iOS
image,home,suggestions,Country Rock,3826,69506057161,07-08-2022,iOS
home,search,navigation,,6364,34310160332,28-08-2022,iOS
image,search,popular,YouTubers,6923,104378399409,11-08-2022,Android
image,home,suggestions,Indie,7956,91951536967,18-08-2022,Android
more,liked_songs,,,9519,12331616544,30-08-2022,iOS
image,home,suggestions,Country Rock,8928,82460340637,07-08-2022,Android
image,search,browse_all,Charts,8859,78117137311,27-08-2022,iOS
unlove,liked_songs,,,1857,12236570990,12-08-2022,iOS
image,home,suggestions,Dance & EDM,3154,49867574517,31-08-2022,iOS
image,home,recently_played,Chill as Folk,7896,73086146701,15-08-2022,Android
love,album,album,,9194,73869754275,01-08-2022,Android
image,home,made_for_you,Chilled Vibes,4691,94298696682,24-08-2022,iOS
play,album,song,,9704,59863481323,31-08-2022,iOS
play,album,album,,9831,83723646209,11-08-2022,Android
image,home,suggestions,Indie,3235,59004708974,23-08-2022,Android
image,home,recently_played,Chilled Hits,9987,31395516309,22-08-2022,Android
play,liked_songs,shuffle,,6957,57906972673,23-08-2022,iOS
play,album,album,,1881,32567531917,07-08-2022,Android
image,home,suggestions,Chilled Hits,2123,85063703653,21-08-2022,Android
image,home,suggestions,Are & Be,5592,49257648501,18-08-2022,Android
image,search,popular,Comedy,8756,53564851454,18-08-2022,Android
home,liked_songs,navigation,,5427,51627963986,12-08-2022,iOS
image,home,recently_played,Chill as Folk,2196,83059545519,23-08-2022,iOS
image,home,recently_played,Study beats,1812,12049412715,20-08-2022,iOS
image,home,suggestions,Electronic,7485,73097082670,05-08-2022,iOS
image,search,browse_all,Charts,8111,47715702425,07-08-2022,iOS
home,home,navigation,,3962,15161814591,09-08-2022,Android
home,liked_songs,navigation,,9875,39529745588,23-08-2022,Android
image,search,popular,YouTubers,2823,102510299361,24-08-2022,iOS
back,album,navigation,,4727,13200025781,07-08-2022,iOS
search,search,bar,,9752,44017160714,10-08-2022,iOS
image,search,popular,Comedy,9434,89330902828,19-08-2022,iOS
settings,home,,,4799,30957198700,20-08-2022,Android
search,liked_songs,navigation,,3982,62864166560,01-08-2022,Android
search,search,navigation,,3656,76578887789,07-08-2022,iOS
settings,home,,,3191,73866926047,07-08-2022,Android
play,album,song,,6186,57842726329,06-08-2022,Android
image,home,suggestions,Chilled Hits,5647,27507864672,24-08-2022,Android
image,home,recently_played,Study beats,1730,19158276059,29-08-2022,Android
image,search,browse_all,Chillout,9524,32612755311,19-08-2022,iOS
image,search,browse_all,Chillout,7171,38305907229,22-08-2022,iOS
search,search,navigation,,8730,70700550322,26-08-2022,iOS
image,home,suggestions,Chilled Hits,4949,44733545620,22-08-2022,Android
more,album,,,4875,70374033973,27-08-2022,Android
library,liked_songs,navigation,,4675,79410053010,12-08-2022,Android
play,album,album,,2018,38267199863,07-08-2022,iOS
search,album,navigation,,5723,13389317861,19-08-2022,iOS
random,album,,,2854,93976517503,03-08-2022,iOS
more,album,,,8690,70711178176,17-08-2022,iOS
image,search,popular,YouTubers,2111,88049095072,11-08-2022,iOS
image,search,popular,YouTubers,9134,37404023561,23-08-2022,Android
play,album,album,,5190,104571851254,13-08-2022,Android
image,search,browse_all,Chillout,5897,93038712583,31-08-2022,iOS
settings,home,,,6900,103123945272,26-08-2022,Android
image,search,top_genres,Dance/Electronic,1827,84755051910,03-08-2022,iOS
search,album,navigation,,4521,110970977133,20-08-2022,iOS
random,album,,,8988,73070571011,23-08-2022,Android
home,album,navigation,,9858,60339164118,14-08-2022,Android
image,search,popular,Comedy,5773,13080192601,22-08-2022,Android
home,search,navigation,,6381,35274000440,24-08-2022,iOS
search,liked_songs,navigation,,4948,94712136190,26-08-2022,iOS
image,home,made_for_you,Chilled Vibes,3233,69310178804,09-08-2022,iOS
library,liked_songs,navigation,,5131,75580227282,24-08-2022,iOS
image,home,suggestions,Electronic,3328,77352951172,01-08-2022,iOS
image,home,suggestions,Chilled Hits,3416,51242925145,23-08-2022,iOS
settings,home,,,9658,82169632627,01-08-2022,iOS
love,album,album,,9035,36373720663,13-08-2022,Android
image,search,popular,YouTubers,3833,38096688755,26-08-2022,Android
play,liked_songs,shuffle,,3848,23914978793,01-08-2022,iOS
unlove,liked_songs,,,5221,105398450034,10-08-2022,Android
image,home,made_for_you,Chilled Hits,4631,15540461938,24-08-2022,Android
library,search,navigation,,7903,37166179149,27-08-2022,Android
unlove,liked_songs,,,3328,64947548812,08-08-2022,Android
image,home,suggestions,Dance & EDM,4795,27375969109,13-08-2022,iOS
image,home,made_for_you,Chilled Vibes,1263,60122060450,28-08-2022,Android
search,album,navigation,,9464,69749675335,10-08-2022,iOS
image,home,suggestions,Dance & EDM,8446,28712264315,05-08-2022,iOS
image,search,popular,YouTubers,5287,72418960165,07-08-2022,Android
home,search,navigation,,4574,33302233843,19-08-2022,iOS
image,search,browse_all,Study Jams,6128,79836181038,13-08-2022,Android
library,liked_songs,navigation,,6090,11445034482,09-08-2022,Android
library,search,navigation,,1815,70320732351,26-08-2022,iOS
home,home,navigation,,9318,78414734655,26-08-2022,iOS
play,liked_songs,shuffle,,3679,51607289547,29-08-2022,Android
library,search,navigation,,9761,77111029752,03-08-2022,Android
search,album,navigation,,4974,92197087352,28-08-2022,Android
image,home,suggestions,Country Rock,5839,87574219116,19-08-2022,Android
search,home,navigation,,2137,60853648085,08-08-2022,Android
home,search,navigation,,8633,40723137160,24-08-2022,iOS
unlove,liked_songs,,,5129,77854971975,17-08-2022,iOS
image,search,popular,Comedy,9861,29299268357,30-08-2022,Android
image,home,recently_played,Chilled Hits,1352,94322188671,13-08-2022,iOS
home,album,navigation,,5890,86159544430,20-08-2022,Android
search,home,navigation,,7529,41533608972,03-08-2022,iOS
home,album,navigation,,4818,47319343862,10-08-2022,Android
image,search,popular,YouTubers,2953,56795063062,31-08-2022,Android
image,search,browse_all,Chillout,3388,62580270969,03-08-2022,iOS
image,search,browse_all,Chillout,4790,105481240591,18-08-2022,iOS
image,search,top_genres,Rock,8351,94410526207,01-08-2022,Android
image,search,browse_all,Podcasts,2697,32905399494,19-08-2022,Android
image,search,top_genres,Dance/Electronic,5615,85979063927,21-08-2022,iOS
play,liked_songs,shuffle,,6782,104675013359,07-08-2022,iOS
image,home,recently_played,Chilled Hits,5480,25951181648,02-08-2022,iOS
image,search,top_genres,Rock,8660,43646047037,20-08-2022,iOS
image,search,browse_all,Chillout,3580,17551649166,22-08-2022,iOS
search,search,bar,,4637,80343518587,22-08-2022,iOS
unlove,liked_songs,,,3087,66579317521,03-08-2022,Android
more,liked_songs,,,5624,15766952998,24-08-2022,Android
unlove,liked_songs,,,3616,15184664191,19-08-2022,Android
image,home,recently_played,Study beats,2157,12376245859,02-08-2022,iOS
image,search,popular,Comedy,1243,94727658460,30-08-2022,Android
play,liked_songs,shuffle,,8982,52334786243,19-08-2022,Android
image,search,popular,Comedy,8524,33934246856,19-08-2022,iOS
search,search,bar,,7063,69974600336,16-08-2022,Android
more,liked_songs,,,4981,81078639564,10-08-2022,iOS
image,home,suggestions,Electronic,5415,73966395394,16-08-2022,iOS
random,album,,,7375,74021227308,16-08-2022,Android
play,album,album,,3947,32561511390,24-08-2022,iOS
image,search,popular,YouTubers,2786,62472848574,24-08-2022,Android
settings,home,,,6866,91468902857,02-08-2022,Android
more,liked_songs,,,7148,92198015864,23-08-2022,iOS
play,album,song,,8010,14009506298,03-08-2022,Android
image,search,top_genres,Rock,9998,92012698109,30-08-2022,iOS
search,album,navigation,,1111,12813639763,09-08-2022,Android
home,album,navigation,,6779,83203086790,03-08-2022,Android
image,home,made_for_you,Chilled Hits,8108,108549178026,03-08-2022,iOS
image,search,popular,Comedy,9327,38753372363,30-08-2022,Android
search,search,navigation,,7417,51736189760,13-08-2022,iOS
play,album,album,,6693,76894836134,06-08-2022,Android
toggle,liked_songs,download_all,,4903,60387084593,11-08-2022,Android
image,home,recently_played,Study beats,8416,93560429141,05-08-2022,Android
back,album,navigation,,3633,82980089521,27-08-2022,Android
search,album,navigation,,1386,64279110147,18-08-2022,Android
image,home,suggestions,Electronic,8216,62884851122,07-08-2022,Android
home,liked_songs,navigation,,4858,85914118725,12-08-2022,iOS
search,search,bar,,9484,94932978333,18-08-2022,iOS
image,search,popular,YouTubers,5288,47693742043,23-08-2022,iOS
image,search,browse_all,Podcasts,4267,40705710519,26-08-2022,iOS
image,search,top_genres,Dance/Electronic,8107,45406401430,29-08-2022,Android
library,album,navigation,,8471,87571616506,31-08-2022,Android
image,home,suggestions,Dance & EDM,3354,68951972259,11-08-2022,iOS
image,home,recently_played,Chilled Hits,5019,47823231134,27-08-2022,Android
play,liked_songs,shuffle,,1883,109927110801,18-08-2022,iOS
image,home,suggestions,Electronic,1413,66283700062,03-08-2022,iOS
image,home,suggestions,Are & Be,4344,85674185864,08-08-2022,Android
